"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
245,400296.614,3876532.742,1.166,0.1607,39.222,0.1608,39.259,0.5,0.9,1
246,400296.714,3876532.616,1.167,0.1607,39.383,0.1608,39.42,0.7,1.2,1
247,400296.814,3876532.491,1.17,0.1607,39.544,0.1608,39.581,1.0,1.8,1
248,400296.914,3876532.365,1.174,0.1607,39.704,0.1608,39.741,1.2,2.1,1
249,400297.014,3876532.240,1.178,0.1607,39.865,0.1608,39.902,1.5,2.6,1
250,400297.115,3876532.114,1.182,0.1607,40.026,0.1608,40.063,1.4,2.5,1
251,400297.215,3876531.988,1.185,0.1607,40.187,0.1608,40.224,1.3,2.2,1
252,400297.315,3876531.863,1.188,0.1607,40.347,0.1608,40.385,0.8,1.3,1
253,400297.415,3876531.737,1.189,0.1607,40.508,0.1607,40.545,0.3,0.6,1
254,400297.515,3876531.611,1.188,0.1607,40.669,0.1607,40.706,0.1,0.2,1
255,400297.616,3876531.486,1.187,0.1607,40.83,0.1607,40.867,0.3,0.5,1
256,400297.716,3876531.360,1.187,0.1607,40.99,0.1607,41.028,0.2,0.4,1
257,400297.816,3876531.234,1.186,0.1607,41.151,0.1607,41.188,0.3,0.5,1
258,400297.916,3876531.109,1.185,0.1607,41.312,0.1607,41.349,0.2,0.4,1
259,400298.017,3876530.983,1.185,0.1607,41.473,0.1607,41.51,0.2,0.4,1
260,400298.117,3876530.858,1.185,0.1607,41.633,0.1607,41.671,0.1,0.1,1
261,400298.217,3876530.732,1.186,0.1607,41.794,0.1607,41.831,0.2,0.4,1
262,400298.317,3876530.606,1.187,0.1607,41.955,0.1608,41.992,0.7,1.2,1
263,400298.417,3876530.481,1.19,0.1607,42.116,0.1608,42.153,1.0,1.8,1
264,400298.518,3876530.355,1.194,0.1607,42.276,0.1608,42.314,1.2,2.0,1
265,400298.618,3876530.229,1.197,0.1607,42.437,0.1608,42.474,1.3,2.3,1
266,400298.718,3876530.104,1.201,0.1607,42.598,0.1608,42.635,1.2,2.2,1
267,400298.818,3876529.978,1.204,0.1607,42.759,0.1608,42.796,1.0,1.8,1
268,400298.918,3876529.852,1.206,0.1607,42.919,0.1608,42.957,0.8,1.4,1
269,400299.019,3876529.727,1.208,0.1607,43.08,0.1608,43.117,0.8,1.4,1
270,400299.119,3876529.601,1.211,0.1607,43.241,0.1608,43.278,0.8,1.5,1
271,400299.219,3876529.476,1.212,0.1607,43.402,0.1608,43.439,0.6,1.1,1
272,400299.319,3876529.350,1.214,0.1607,43.562,0.1608,43.6,0.6,1.0,1
273,400299.419,3876529.224,1.216,0.1607,43.723,0.1608,43.761,0.7,1.3,1
274,400299.520,3876529.099,1.218,0.1607,43.884,0.1608,43.921,0.7,1.3,1
275,400299.620,3876528.973,1.22,0.1607,44.044,0.1608,44.082,0.7,1.2,1
276,400299.720,3876528.847,1.222,0.1607,44.205,0.1608,44.243,0.7,1.2,1
277,400299.820,3876528.722,1.224,0.1607,44.366,0.1608,44.404,0.6,1.1,1
278,400299.920,3876528.596,1.225,0.1607,44.527,0.1608,44.564,0.5,0.9,1
279,400300.021,3876528.471,1.226,0.1607,44.687,0.1607,44.725,0.4,0.6,1
280,400300.121,3876528.345,1.227,0.1607,44.848,0.1607,44.886,0.3,0.5,1
281,400300.221,3876528.219,1.228,0.1607,45.009,0.1607,45.047,0.3,0.5,1
282,400300.321,3876528.094,1.229,0.1607,45.17,0.1608,45.207,0.4,0.7,1
283,400300.421,3876527.968,1.231,0.1607,45.33,0.1608,45.368,0.5,0.9,1
284,400300.522,3876527.842,1.232,0.1607,45.491,0.1607,45.529,0.4,0.6,1
285,400300.622,3876527.717,1.232,0.1607,45.652,0.1607,45.69,0.2,0.4,1
286,400300.722,3876527.591,1.233,0.1607,45.813,0.1607,45.85,0.2,0.4,1
287,400300.822,3876527.465,1.234,0.1607,45.973,0.1607,46.011,0.2,0.4,1
288,400300.923,3876527.340,1.234,0.1607,46.134,0.1607,46.172,0.1,0.2,1
289,400301.023,3876527.214,1.235,0.1607,46.295,0.1607,46.333,0.3,0.4,1
290,400301.123,3876527.089,1.236,0.1607,46.456,0.1608,46.493,0.4,0.8,1
291,400301.223,3876526.963,1.238,0.1607,46.616,0.1608,46.654,0.6,1.1,1
292,400301.323,3876526.837,1.24,0.1607,46.777,0.1608,46.815,0.9,1.7,1
293,400301.424,3876526.712,1.244,0.1607,46.938,0.1608,46.976,1.4,2.5,1
294,400301.524,3876526.586,1.249,0.1607,47.099,0.1608,47.136,1.7,2.9,1
295,400301.624,3876526.460,1.254,0.1607,47.259,0.1608,47.297,1.8,3.2,1
296,400301.724,3876526.335,1.259,0.1607,47.42,0.1608,47.458,1.7,3.0,1
297,400301.824,3876526.209,1.263,0.1607,47.581,0.1608,47.619,1.5,2.6,1
298,400301.925,3876526.083,1.266,0.1607,47.742,0.1608,47.78,1.1,1.9,1
299,400302.025,3876525.958,1.268,0.1607,47.902,0.1608,47.94,0.7,1.3,1
300,400302.125,3876525.832,1.269,0.1607,48.063,0.1607,48.101,0.4,0.6,1
301,400302.225,3876525.707,1.27,0.1607,48.224,0.1607,48.262,0.1,0.2,1
302,400302.325,3876525.581,1.27,0.1607,48.385,0.1607,48.423,0.2,0.4,1
